,United Kingdom,United States,European Union,Australia,South Korea,Japan
0,0.13,0.17,0.01,7.935563226600008e-05,0.04,0.01
1,0.13,0.18,0.02,0.011423243264690712,0.04,0.01
2,0.13,0.18,0.04,0.02740943538467643,0.04,0.01
3,0.13,0.3,0.07,0.06943617823275007,0.04,0.02
4,0.13,0.3,0.09,0.0991945403325001,0.17,0.02
5,0.13,0.3,0.1,0.11903344839900012,0.3,0.02
6,0.13,0.58,0.12,0.12654842677459033,0.44,0.02
7,0.99,0.58,0.14,0.13372217593143673,0.58,0.03
8,0.99,0.64,0.2,0.16627782406856326,0.61,0.03
9,0.99,0.64,0.27,0.20172201722017222,0.62,0.03
10,0.99,0.84,0.33,0.24206642066420667,0.75,0.03
11,0.99,0.84,0.41,0.2851525612030314,0.87,0.04
12,0.99,0.84,0.49,0.3052811173273023,0.98,0.04
13,0.99,1.26,0.54,0.32275919533388886,1.07,0.04
14,1.48,1.26,0.59,0.342693330159108,1.14,0.06
15,1.48,1.36,0.68,0.3765742173550768,1.15,0.09
16,1.48,1.45,0.78,0.4213784073324604,1.15,0.12
17,1.48,1.59,0.91,0.4959727016625005,1.17,0.14
18,1.48,1.77,1.03,0.5360591993016705,1.21,0.18
19,1.48,2.0,1.14,0.6320438043090109,1.25,0.18
20,1.48,2.0,1.19,0.644966869023529,1.29,0.18
21,2.07,2.0,1.26,0.6538150220211879,1.32,0.23
22,2.07,2.69,1.37,0.7238701741856128,1.32,0.28
23,2.07,2.79,1.48,0.8076697218585088,1.32,0.35
24,2.07,3.07,1.61,0.896944808157759,1.33,0.4
25,2.07,3.33,1.74,0.9552592945284292,1.38,0.46
26,2.07,3.67,1.86,1.0071459746855533,1.44,0.46
27,2.07,3.67,1.91,1.0197952624687538,1.5,0.46
28,3.94,3.67,2.01,1.1196444867674482,1.56,0.52
29,4.19,3.67,2.12,1.2201920406300837,1.56,0.55
30,4.52,4.7,2.25,1.4095702892512796,1.56,0.59
31,4.94,4.94,2.39,1.6204816886878546,1.62,0.61
32,5.42,5.25,2.54,1.8257945482680633,1.68,0.65
33,5.93,5.71,2.66,2.009542514779987,1.74,0.65
34,6.37,6.14,2.74,2.029599650835218,1.82,0.65
35,6.65,6.53,2.89,2.1495893346030233,1.91,0.7
36,6.96,6.8,3.01,2.3708407729238585,1.93,0.75
37,7.47,7.04,3.16,2.6597984366940444,1.93,0.79
38,8.01,7.37,3.33,2.9533309526643654,1.93,0.83
39,8.62,7.83,3.51,3.2679085823116294,,0.87
40,9.32,8.34,3.66,3.2869737729635364,,0.87
41,10.05,8.84,3.73,3.3455620362655236,,0.87
42,10.38,9.31,3.87,3.348637067015831,,0.87
43,10.79,9.63,4.1,,,
44,11.25,9.8,4.26,,,
45,11.72,10.13,4.4,,,
46,12.33,10.53,4.62,,,
47,13.05,11.01,4.78,,,
48,13.95,11.67,4.86,,,
49,14.42,12.32,5.01,,,
